86836,229,3432
86827,232,3438
86822,228,3447
86816,223,3458
86812,217,3468
86800,216,3481
86796,214,3487
86792,209,3496
86787,208,3502
86777,212,3508
86772,204,3521
86762,206,3529
86757,202,3538
86751,199,3547
86746,197,3554
86737,198,3562
86723,205,3569
86720,203,3574
86718,196,3583
86712,194,3591
86701,199,3597
86694,196,3607
86687,196,3614
86680,192,3625
86675,189,3633
86667,193,3637
86662,192,3643
86657,188,3652
86653,183,3661
86650,177,3670
86645,173,3679
86641,172,3684
86634,171,3692
86629,168,3700
86626,165,3706
86622,165,3710
86619,162,3716
86616,159,3722
86614,154,3729
86610,154,3733
86605,154,3738
86602,150,3745
86591,157,3749
86585,159,3753
86581,158,3758
86575,152,3770
86574,150,3773
86568,152,3777
86563,149,3785
86557,153,3787
86551,152,3794
86548,150,3799
86539,151,3807
86537,144,3816
86534,142,3821
86525,140,3832
86519,141,3837
86517,137,3843
86511,133,3853
86510,129,3858
86508,128,3861
86506,122,3869
86499,129,3869
86495,128,3874
86493,126,3878
86490,123,3884
86486,123,3888
86480,124,3893
86478,122,3897
86473,118,3906
86470,118,3909
86469,111,3917
86465,107,3925
86456,109,3932
86449,112,3936
86446,112,3939
86445,111,3941
86440,112,3945
86440,109,3948
86436,108,3953
86432,111,3954
86428,110,3959
86424,107,3966
86422,104,3971
86419,104,3974
86417,102,3978
86413,100,3984
86407,101,3989
86405,98,3994
86404,96,3997
86401,93,4003
86399,90,4008
86396,88,4013
86395,88,4014
86394,85,4018
86390,85,4022
86388,84,4025
86384,86,4027
86384,83,4030
86382,83,4032
86380,81,4036
86378,80,4039
86378,80,4039
86375,83,4039
86374,76,4047
86368,73,4056
86365,72,4060
86364,71,4062
86361,72,4064
86360,71,4066
86359,66,4072
86357,68,4072
86357,63,4077
86354,61,4082
86351,63,4083
86351,61,4085
86347,63,4087
86346,61,4090
86344,61,4092
86340,63,4094
86338,63,4096
86335,63,4099
86332,65,4100
86328,66,4103
86324,69,4104
86323,69,4105
86322,66,4109
86321,65,4111
86319,65,4113
86318,64,4115
86317,62,4118
86314,61,4122
86312,60,4125
86309,60,4128
86307,59,4131
86304,56,4137
86301,57,4139
86297,57,4143
86295,56,4146
86291,58,4148
86290,58,4149
86290,58,4149
86287,58,4152
86284,58,4155
86281,58,4158
86279,59,4159
86276,59,4162
86274,58,4165
86271,59,4167
86266,61,4170
86263,63,4171
86258,67,4172
86255,64,4178
86255,63,4179
86253,64,4180
86249,65,4183
86246,62,4189
86246,60,4191
86243,60,4194
86239,63,4195
86239,63,4195
86235,63,4199
86234,61,4202
86228,64,4205
86223,64,4210
86220,63,4214
86217,63,4217
86216,61,4220
86213,61,4223
86213,59,4225
86211,60,4226
86210,59,4228
86209,58,4230
86207,53,4237
86207,53,4237
86206,53,4238
86204,50,4243
86204,47,4246
86202,47,4248
86202,45,4250
86201,45,4251
86199,42,4256
86196,43,4258
